Rank,Sean Focus Callout,Route Eligibility,Current PL / Owner,Target Score,Tier,Referral Evidence Band,Operating Lane,Account / Practice,MMC Company ID,Practice Type,City,Full Address,MMC Groups,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,Last Patient Date,Last Completed Visit,Days Since Visit,Visit-Days 4W,Visit-Days 12W,Linked People,Frequency Status,Planned Cadence Days,Operating Status,Next Action,Coordinate Status,Referral Sources / Review Notes
159,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,North Oakland Internists,c8cbcf8b-4aa4-4011-8d68-19fae889caac,PCP,Auburn Hills,"3100 Cross Creek Pkwy ste 220, Auburn Hills, Michigan, 48326",Internal Medicine/PCP,0,0,0,0,,2026-06-02 00:00:00,44,0,3,4,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
160,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Current / Maintain,Silver Pine Medical Group - Washington,1265581730,PCP,Washington,"57850 Van Dyke Ave #100, Washington, Michigan, 48094",Internal Medicine/PCP,0,0,0,0,,2026-06-22 00:00:00,24,1,1,3,Unknown,45,Likely Open – recent MMC visit,Keep: reinforce spine access,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
161,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,Troy Family Practice,c0726f10-f8db-4b5e-b4db-86b28a64fe5c,PCP,Troy,"2041 E Square Lake Rd suite 300, Troy, Michigan, 48085",Internal Medicine/PCP,0,0,0,0,,2026-06-05 00:00:00,41,0,3,4,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
162,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Current / Maintain,WARREN MEDICAL,065aadab-0cbb-4d19-86de-28b68a78c5fa,PCP,DEARBORN,"12940 W WARREN AVE, DEARBORN, MI, 48126",Internal Medicine/PCP,0,0,0,0,,2026-06-29 00:00:00,17,1,1,4,Unknown,45,Likely Open – recent MMC visit,Keep: reinforce spine access,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
163,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,10,Prospect,Visit / Prospect,Expansion / Test,WILLIAM BEAUMONT HOSPITAL CENTER FOR PAIN MEDICINE,d82fac56-aca3-453e-8768-e3cc4abf8d84,Orthopedic,ROYAL OAK,"4949 COOLIDGE HWY STE G, ROYAL OAK, Michigan, MI 48073",Spine,0,0,0,0,,2026-05-20 00:00:00,57,0,1,4,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
164,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Absolute wellness chiropractic,62d47d64-efe1-43dd-9a0b-f4d75f2031c3,Chiropractor,Clawson,"625 W 14 Mile Rd, Clawson, Michigan, 48017",Chiropractor,0,0,0,0,,2026-06-08 00:00:00,38,0,2,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
165,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Advanced Health Chiropractic,cecc3d94-9008-4e8c-bbb2-069b0c4f5fcb,Chiropractor,Rochester Hills,"6585 Rochester Rd, Rochester Hills, Michigan, 48307",Chiropractor,0,0,0,0,,2026-06-09 00:00:00,37,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
166,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Advanced Primary Care,56f69f53-18a5-4b41-9f51-39a064965a82,PCP,Troy,"2888 E Long Lake Rd ste 105, Troy, Michigan, 48085",Internal Medicine/PCP,0,0,0,0,,2026-06-05 00:00:00,41,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
167,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Clairpointe Family Chiropractic,1dd5d50d-eb6b-4600-8f96-515c63bd5fac,Chiropractor,Grosse Pointe,"18720 Mack Ave Ste 120, Grosse Pointe, Michigan, 48236",Chiropractor,0,0,0,0,,2026-06-03 00:00:00,43,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
168,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Clearwater Family Medicine,e1d25735-a893-4b22-800e-d0205bf06fe2,PCP,Washington Township,"64321 Van Dyke, Washington Township, Michigan, 48095",Internal Medicine/PCP,0,0,0,0,,2026-05-27 00:00:00,50,0,1,3,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
169,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Corewell Health Urgent Care - Troy Square Lake,9987970f-e745-49c3-858e-9412593241a2,Urgent Care,Troy,"43037 Dequindre Rd, Troy, MI 48085, United States, Troy, Michigan, 48085",Urgent care,0,0,0,0,,2026-06-04 00:00:00,42,0,2,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
170,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,County Creek Family Physicians,6add0584-1457-4c11-93cd-400c9ebc25e4,PCP,Rochester,"4986 Adams Rd, Rochester, Michigan, 48306",Internal Medicine/PCP,0,0,0,0,,2026-06-09 00:00:00,37,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
171,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Reactivation,Embody Chiropractic,b06436d7-cb22-4385-be7b-61950a43b575,Chiropractor,Troy,"2888 East Long Lake Road Ste 130, Troy, Michigan, 48085",Chiropractor,0,0,0,0,,2026-06-05 00:00:00,41,0,1,2,Past due,45,Likely Open – recent MMC visit,Increase: visit now; reset cadence,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
172,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Emcura Immediate Care - Grosse Pointe,bf549ea4-0d9c-4877-927c-ed3f99bf0988,Urgent Care,Grosse Pointe Woods,"20599 Mack Ave, Grosse Pointe Woods, Michigan, 48236",Urgent care,0,0,0,0,,2026-06-03 00:00:00,43,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
173,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Henry Ford Health Primary Care-Dequindre Road,1f15006c-89e3-40e9-b4f0-d88268c4389b,PCP,TROY,"41069 DEQUINDRE RD STE 103, TROY, Michigan, 48085",Internal Medicine/PCP,0,0,0,0,,2026-05-05 00:00:00,72,0,1,3,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
174,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Henry Ford- GoHealth Urgent Care,3c8aa5aa-74dd-4a8d-92d5-82fa20d6e1fe,Urgent Care,Berkley,"27897 Woodward Ave, Berkley, Michigan, 48072",Urgent care,0,0,0,0,,2026-06-08 00:00:00,38,0,1,3,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
175,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,IEP Urgent Care - Grosse Pointe,d918a4df-8481-4c88-81d6-74ecfceb6111,Urgent Care,Grosse Pointe Woods,"19815 Mack Ave, Grosse Pointe Woods, Michigan, 48236",Urgent care,0,0,0,0,,2026-06-03 00:00:00,43,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
176,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Kraft Chiropractic Clinic,743a9d0a-c188-41bc-8969-ff483bb6d346,Chiropractor,Rochester Hills,"165 W Auburn Rd, Rochester Hills, Michigan, 48307",Chiropractor,0,0,0,0,,2026-05-27 00:00:00,50,0,3,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
177,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Michigan Knee and Hip - Troy,4cf459a1-3096-493a-b42b-3a45e554f532,Orthopedic,Troy,"6905 Rochester Rd, Troy, Michigan, 48085",Orthopedic Surgery,0,0,0,0,,2026-04-22 00:00:00,85,0,0,6,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
178,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,MyHealth Urgent Care - Washington,a16fd563-cf2b-4941-8741-8aa078e058a7,Urgent Care,Washington,"7701 26 Mile Rd, Washington, Michigan, 48094",Urgent care,0,0,0,0,,2026-05-26 00:00:00,51,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
179,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,NAKKASH AND NAKKASH MEDICAL GROUP,4796e8d2-11c3-43c3-b890-19d19e115a1e,PCP,TROY,"1899 E WATTLES RD, TROY, Michigan, 48085",Internal Medicine/PCP,0,0,0,0,,2026-06-05 00:00:00,41,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
180,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Neighborhood Primary Care,59c5bbdb-0c27-4437-86f3-467741b77bee,PCP,Orion Township,"1261 S Lapeer Rd ste 202, Orion Township, Michigan, 48360",Internal Medicine/PCP,0,0,0,0,,2026-05-13 00:00:00,64,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
181,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,"Office of Curtis Hunt MD,",1326022781,PCP,Troy,"2888 E Long Lake Rd, Troy, MI, 48085",Internal Medicine/PCP,0,0,0,0,,2026-06-05 00:00:00,41,0,2,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
182,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Pain Away Centers,9d728762-98e3-4ed5-ad74-0a5666e74ee2,Pain,,"5799 W Maple Rd Ste 165 West Bloomfield Township, Michigan, 48322",Pain Management,0,0,0,0,,2026-05-20 00:00:00,57,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
183,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Pro-Health Urgent Care,8a7eadb6-b69e-4a3a-8b66-2010f31cfd84,Urgent Care,Rochester Hills,"1268 W University Dr., Rochester Hills, Michigan, 48307",Urgent care,0,0,0,0,,2026-05-22 00:00:00,55,0,1,3,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
184,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Purdy Chiropractic,e1cabdef-6e84-4450-bf92-6811666634a8,Chiropractor,Washington,"64401 Van Dyke Ave, Washington, Michigan, 48095",Chiropractor,0,0,0,0,,2026-05-27 00:00:00,50,0,2,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
185,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Rochester Family Chiropractic,1243ffa0-a9ee-4f96-bd1c-02a04dd60f95,Chiropractor,Rochester Hills,"3062 Walton Boulevard, Rochester Hills, Michigan, 48309",Chiropractor,0,0,0,0,,2026-06-09 00:00:00,37,0,2,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
186,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Rochester Urgent Care,3c4eba1b-a0e6-446b-a99e-5428aa6288f5,Urgent Care,Rochester Hills,"2915 Walton Blvd., Rochester Hills, Michigan, 48309",Urgent care,0,0,0,0,,2026-06-09 00:00:00,37,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
187,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Sheldon Chiropractic & Wellness,e58ff402-5e62-4803-897d-c542b9bf3220,Chiropractor,Auburn Hills,"32 S Squirrel Rd, Auburn Hills, Michigan, 48326",Chiropractor,0,0,0,0,,2026-06-08 00:00:00,38,0,1,2,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
188,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,The Joint Chiropractic - Royal Oak,ada75887-b02a-4103-96d1-2d6fd258975f,Chiropractor,Royal Oak,"815 S Main St, Royal Oak, Michigan, 48067",Chiropractor,0,0,0,0,,2026-05-12 00:00:00,65,0,1,4,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
189,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,9,Prospect,Visit / Prospect,Expansion / Test,Village Health Urgent and Family Care,1306939285,Urgent Care,Washington,"12150 30 Mile Rd, ste 101, Washington, Michigan, 48095",Urgent care;Internal Medicine/PCP,0,0,0,0,,2026-05-27 00:00:00,50,0,1,5,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
190,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Active Health Chiropractic Clinic,5138851e-e580-4132-807a-863711bf577b,Chiropractor,Village of Clarkston,"7743 Sashabaw Rd, Village of Clarkston, Michigan, 48346",Chiropractor,0,0,0,0,,2026-06-02 00:00:00,44,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
191,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,AS Medical Group,f7f3d021-5ea1-4430-b650-f06bc9e9c0f2,Pain,Madison Heights,"32600 John R Road, Madison Heights, Michigan, 48071",Pain Management,0,0,0,0,,2025-03-07 00:00:00,496,0,0,1,Unknown,45,Verify before route,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
192,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,ASCENSION MEDICAL GROUP AUBURN HILLS PRIMARY CARE,738761ab-282a-4e37-a798-5fb32f137cd3,PCP,AUBURN HILLS,"2251 N Squirrel Rd, ste 201b, AUBURN HILLS, Michigan, 48326",Internal Medicine/PCP,0,0,0,0,,2026-03-23 00:00:00,115,0,0,3,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
193,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Auburn Hills Medical Clinic,1598856841,PCP,Auburn Hills,"3095 E Walton Blvd, Auburn Hills, MI, 48326",Internal Medicine/PCP,0,0,0,0,,2026-03-23 00:00:00,115,0,0,3,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
194,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Back and Neck Chiropractic Wellness Center,c6e59a01-04d6-4d38-8870-f1d5aefeedd8,Chiropractor,Troy,"1977 E Wattles Rd, Troy, Michigan, 48085",Chiropractor,0,0,0,0,,2026-06-05 00:00:00,41,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
195,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Beaumont Internal Medicine - Berkley,7f34f403-3ebe-40cb-8ac9-0a313e03c54b,PCP,Berkley,"1949 Twelve Mile Rd ste 100, Berkley, Michigan, 48072",Internal Medicine/PCP,0,0,0,0,,2026-03-23 00:00:00,115,0,0,13,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
196,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Birmingham Royal Oak Medical Group,1184704728,PCP,Royal Oak,"5130 Coolidge Hwy, Royal Oak, MI, 48073",Internal Medicine/PCP,0,0,0,0,,2026-03-13 00:00:00,125,0,0,5,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
197,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Carecore Health Center,3ff84339-c8a8-4a77-9204-d38129f6fe7f,PCP,Troy,"5032 Rochester Rd, ste 200, Troy, Michigan, 48085",Internal Medicine/PCP,0,0,0,0,,2026-04-14 00:00:00,93,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
198,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Chiropractic & Integrative Health Specialists,a9ba5684-e0cf-4ea2-86e3-4d22636954e2,Chiropractor,West Bloomfield,"5829 W Maple Rd Ste 123, West Bloomfield, Michigan, 48322",Chiropractor,0,0,0,0,,2026-05-20 00:00:00,57,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
199,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Complete Spine and Joint Center,7018518b-9096-4e4b-81a1-93f832371742,Chiropractor,Royal Oak,"1638 E Lincoln Ave, Royal Oak, Michigan, 48067",Chiropractor,0,0,0,0,,2026-05-18 00:00:00,59,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
200,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Corewell Health Urgent Care,95936ffa-cdaf-4522-977c-bb5d4e9474d5,Urgent Care,ROYAL OAK,"30955 WOODWARD AVE STE 705, ROYAL OAK, Michigan",Urgent care,0,0,0,0,,2026-06-08 00:00:00,38,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
201,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Embrace Life Chiropractic,138c0606-2313-4642-9769-718345fe8abf,Chiropractor,Rochester Hills,"2100 W Auburn Rd, Rochester Hills, Michigan, 48309",Chiropractor,0,0,0,0,,2026-05-22 00:00:00,55,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
202,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Epic Healthcare - Royal Oak,1591d571-f2bb-48d8-9d19-771a589e07e9,PCP,Royal Oak,"26300 Woodward Ave, Royal Oak, Michigan, 48067",Internal Medicine/PCP,0,0,0,0,,2026-05-12 00:00:00,65,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
203,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Evolution Chiropractic Health and Sport Fitness,b0cae484-42c9-40d8-9ec3-c7a5417fd2ce,Chiropractor,Troy,"2041 E Square Lake Rd ste 500, Troy, Michigan, 48085",Chiropractor,0,0,0,0,,2026-06-05 00:00:00,41,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
204,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Henry Ford Macomb Primary Care - Washington,23c092a1-dde7-4080-9cc5-19c0a7def954,PCP,Washington,"12150 30 Mile Rd ste 201, Washington, Michigan, 48095",Internal Medicine/PCP,0,0,0,0,,2026-03-17 00:00:00,121,0,0,3,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
205,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Kraft Chiropractic,9afd3a8e-7eb0-43b4-bea6-02b810398765,Chiropractor,Troy,"3330 Rochester Rd, Troy, Michigan, 48083",Chiropractor,0,0,0,0,,2026-05-01 00:00:00,76,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
206,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,LaFontaine Internal Medicine,1396742151,PCP,Grosse Pointe,"18601 Mack Ave, ste 2, Grosse Pointe, MI, 482363250",Internal Medicine/PCP,0,0,0,0,,2026-03-19 00:00:00,119,0,0,2,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
207,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Livewell Medical Clinic,1bda0957-7259-4436-b54d-618aed3a063d,PCP,Highland Park,"1535 E State Fair, Highland Park, Michigan, 48203",Internal Medicine/PCP,0,0,0,0,,2026-05-21 00:00:00,56,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
208,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Madison Heights Chiropractic Center,3eedce2a-9e07-4078-ab62-44d336110ba5,Chiropractor,Madison Heights,"28107 John R Rd, Madison Heights, MI, 480712710",Chiropractor,0,0,0,0,,2026-03-25 00:00:00,113,0,0,3,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
209,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Reactivation,Michigan Physicians Group - Berkley,1639156441,PCP,Berkley,"2905 Twelve Mile Road, Berkley, Michigan, 48072",Internal Medicine/PCP,0,0,0,0,,2026-03-23 00:00:00,115,0,0,5,Unknown,45,Likely Open – recent MMC visit,Test: re-engage and qualify spine,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
210,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,MiLife Health & Wellness,432734dc-735c-41b0-b5ff-a10a6ee2dab1,PCP,Madison Heights,"300 W 13 Mile Rd, Madison Heights, Michigan, 48071",Internal Medicine/PCP,0,0,0,0,,2026-05-18 00:00:00,59,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
211,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Office of Bassam Matti MD,bae06525-7767-440d-9dcd-17d18fc13420,PCP,Grosse Pointe,"468 Cadieux Rd, Grosse Pointe, Michigan, 48230",Internal Medicine/PCP,0,0,0,0,,2026-06-03 00:00:00,43,0,1,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
212,Outside Sean Focus – Review,Hold – outside Sean focus,Sean / Sean Sweeney,8,Prospect,Visit / Prospect,Expansion / Test,Office of Peter Samet MD,1447293246,Orthopedic,Ferndale,"641 W 9 Mile Rd, Ferndale, MI, 48220",Physiatry,0,0,0,0,,2026-04-22 00:00:00,85,0,0,1,Unknown,45,Likely Open – recent MMC visit,Test: add to next spine route,Exact MMC coordinate,No deterministically attributed 2026 B2B patient in the supplied referral file
